Start Date,End Date,Data Year,District Name,Campus Number,Campus Name,2 Digit ESC Region,Region Name,County Name,School Type,Grades Served,Alt Ed,Total Number of Students in County,"Total Number
of Students at School",% Eco Dis,Overall Grade/Rating,Accountability System Conversion,Overall Score,Charter School,Street Address,City,Zip Code,Geocode
Jan 2016,December 2016,2016,AUSTIN ISD,227901046,BURNET M S,13,"REGION 13:
AUSTIN",TRAVIS,Middle School,'06 - 08,,,1020,0.907,Improvement Required,F,,false,8401 Hathaway Dr,Austin,78757,POINT (-97.72654 30.36388)
Jan 2016,December 2016,2016,AUSTIN ISD,227901026,GRADUATION PREP ACADEMY,13,"REGION 13:
AUSTIN",TRAVIS,High School,'09 - 12,,,121,0.81,Improvement Required,F,,false,1211 E Oltorf St,Austin,78704,POINT (-97.74371 30.23422)
Jan 2017,December 2017,2017,THE EXCEL CENTER,227828001,THE EXCEL CENTER,13,"REGION 13:
AUSTIN",TRAVIS,High School,'09 - 12,true,,213,0.465,Improvement Required,F,,true,1015 Norwood Park Blvd,Austin,78753,POINT (-97.69365 30.33928)
Jan 2022,December 2022,2022,MANOR ISD,227907107,OAK MEADOWS EL,13,REGION 13: AUSTIN,TRAVIS,Elementary,KG - 06,false,,381,0.934,Not Rated: Senate Bill 1365,F,62,false,5600 DECKER LN,Austin,78724,POINT (-97.63541 30.2807)
Jan 2019,December 2019,2019,AUSTIN ISD,227901065,SADLER MEANS YWLA,13,REGION 13: AUSTIN,TRAVIS,Middle School,8-Jun,false,,370,0.919,Improvement Required,F,59,false,6401 N Hampton Dr,Austin,78723,POINT (-97.68104 30.3138)
Jan 2017,December 2017,2017,AUSTIN ISD,227901116,GOVALLE EL,13,"REGION 13:
AUSTIN",TRAVIS,Elementary,'EE - 05,false,,470,0.883,Improvement Required,F,,false,3601 Govalle Ave,Austin,78702,POINT (-97.69874 30.26479)
Jan 2022,December 2022,2022,MANOR ISD,227907042,DECKER MIDDLE,13,REGION 13: AUSTIN,TRAVIS,Middle School,8-Jun,false,,607,0.878,Not Rated: Senate Bill 1365,F,67,false,8104 DECKER LN,Austin,78724,POINT (-97.61749 30.30749)
Jan 2017,December 2017,2017,AUSTIN ISD,227901051,MARTIN MIDDLE,13,"REGION 13:
AUSTIN",TRAVIS,Middle School,'06 - 08,false,,432,0.944,Improvement Required,F,,false,1601 Haskell St,Austin,78702,POINT (-97.72974 30.25364)
Jan 2022,December 2022,2022,MANOR ISD,227907104,DECKER EL,13,REGION 13: AUSTIN,TRAVIS,Elementary,KG - 06,false,,464,0.871,Not Rated: Senate Bill 1365,F,60,false,8500 DECKER LN,Austin,78724,POINT (-97.61524 30.31098)
Jan 2016,December 2016,2016,AUSTIN ISD,227901064,GARCIA YMLA,13,"REGION 13:
AUSTIN",TRAVIS,Middle School,'06 - 08,,,425,0.939,Improvement Required,F,,false,7414 Johnny Morris Rd,Austin,78724,POINT (-97.64354 30.30802)
Jan 2017,December 2017,2017,AUSTIN ISD,227901046,BURNET M S,13,"REGION 13:
AUSTIN",TRAVIS,Middle School,'06 - 08,false,,1040,0.903,Improvement Required,F,,false,8401 Hathaway Dr,Austin,78757,POINT (-97.72654 30.36388)
Jan 2018,December 2018,2018,AUSTIN ISD,227901025,GRADUATION PREP ACADEMY,13,"REGION 13:
AUSTIN",TRAVIS,High School,12-Sep,true,,145,0.738,Improvement Required,F,58,,1211 E Oltorf St,Austin,78704,POINT (-97.74371 30.23422)
Jan 2019,December 2019,2019,AUSTIN ISD,227901149,BARRINGTON EL,13,REGION 13: AUSTIN,TRAVIS,Elementary,PK - 05,false,,500,0.956,Improvement Required,F,55,false,400 Cooper Dr,Austin,78753,POINT (-97.69618 30.36014)
Jan 2017,December 2017,2017,AUSTIN ISD,227901058,MENDEZ M S,13,"REGION 13:
AUSTIN",TRAVIS,Middle School,'06 - 08,false,,711,0.928,Improvement Required,F,,false,5106 Village Square Dr,Austin,78744,POINT (-97.74351 30.18781)
Jan 2019,December 2019,2019,AUSTIN ISD,227901051,MARTIN MIDDLE,13,REGION 13: AUSTIN,TRAVIS,Middle School,8-Jun,false,,511,0.937,Improvement Required,F,58,false,1601 Haskell St,Austin,78702,POINT (-97.72974 30.25364)
Jan 2016,December 2016,2016,WAYSIDE SCHOOLS,227803001,SCI-TECH PREPARATORY,13,"REGION 13:
AUSTIN",TRAVIS,Both,'06 - 12,,162066,431,0.587,Improvement Required,F,,true,6405 S IH 35,Austin,78744,POINT (-97.76745 30.19175)
